Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Babym,2025-05-01 22:32:58,00:12:12,,A Family Affair,,Apple iPhone XR,00:53:32,Not latest view,NG (Nigeria)
Babym,2025-05-01 21:23:29,01:33:15,Autoplayed: user action: User_Interaction; ,Demon City,,Hisense MTK9602 5.2 4K TV Smart TV,01:42:22,01:42:22,NG (Nigeria)
Babym,2025-05-01 21:23:00,00:00:04,Autoplayed: user action: None; ,Clip 3: Havoc,HOOK,Hisense MTK9602 5.2 4K TV Smart TV,00:00:04,00:00:04,NG (Nigeria)
Babym,2025-05-01 21:11:49,00:09:02,,Demon City,,Hisense MTK9602 5.2 4K TV Smart TV,00:09:02,Not latest view,NG (Nigeria)
Babym,2025-05-01 20:04:02,00:15:37,,A Family Affair,,Apple iPhone XR,00:41:20,Not latest view,NG (Nigeria)
Babym,2025-05-01 17:37:26,00:06:05,,A Family Affair,,Apple iPhone XR,00:25:42,Not latest view,NG (Nigeria)
Babym,2025-05-01 17:35:35,00:01:46,Autoplayed: user action: None; ,Trailer: A Family Affair,TRAILER,Apple iPhone XR,00:01:46,00:01:46,NG (Nigeria)
Babym,2025-05-01 15:01:37,00:13:23,,A Family Affair,,Apple iPhone XR,00:19:37,Not latest view,NG (Nigeria)
Babym,2025-05-01 12:11:39,00:06:14,,A Family Affair,,Apple iPhone XR,00:06:14,Not latest view,NG (Nigeria)
Babym,2025-05-01 12:10:00,00:00:19,Autoplayed: user action: None; ,13 Reasons Why: Season 3 (Trailer),TRAILER,Apple iPhone XR,00:00:19,00:00:19,NG (Nigeria)
Babym,2025-04-30 20:48:34,00:28:41,,Baby Farm: Season 1: Falling Apart (Episode 5),,Apple iPhone XR,00:29:15,00:29:15,NG (Nigeria)
Babym,2025-04-30 20:16:38,00:31:55,,Baby Farm: Season 1: Get Out (Episode 4),,Apple iPhone XR,00:32:01,00:32:01,NG (Nigeria)
Babym,2025-04-30 19:47:12,00:24:31,,Baby Farm: Season 1: Sisters Cry (Episode 3),,Apple iPhone XR,00:39:01,00:39:01,NG (Nigeria)
Babym,2025-04-30 18:50:21,00:14:20,,Baby Farm: Season 1: Sisters Cry (Episode 3),,Apple iPhone XR,00:14:30,Not latest view,NG (Nigeria)
Babym,2025-04-30 17:34:06,00:00:02,,Baby Farm: Season 1: Sisters Cry (Episode 3),,Apple iPhone XR,00:00:03,Not latest view,NG (Nigeria)
Babym,2025-04-30 17:00:30,00:33:36,,Baby Farm: Season 1: No Way Out (Episode 2),,Apple iPhone XR,00:33:52,00:33:52,NG (Nigeria)
Babym,2025-04-30 16:57:55,00:02:34,,Baby Farm: Season 1: Lost and Found (Episode 1),,Apple iPhone XR,00:43:11,00:43:11,NG (Nigeria)
Babym,2025-04-30 16:33:20,00:00:49,,Baby Farm: Season 1: Lost and Found (Episode 1),,Apple iPhone XR,00:40:37,Not latest view,NG (Nigeria)
Babym,2025-04-30 15:04:24,00:40:41,,Baby Farm: Season 1: Lost and Found (Episode 1),,Apple iPhone XR,00:39:48,Not latest view,NG (Nigeria)
Babym,2025-04-30 15:04:01,00:00:19,Autoplayed: user action: None; ,Baby Farm: Season 1_hook_03_16x9,HOOK,Apple iPhone XR,00:00:19,00:00:19,NG (Nigeria)
Babym,2025-04-30 10:38:28,00:33:00,,A Lagos Love Story,,Apple iPhone XR,01:40:00,01:40:00,NG (Nigeria)
Babym,2025-04-29 20:04:57,00:20:01,,A Lagos Love Story,,Apple iPhone XR,01:07:00,Not latest view,NG (Nigeria)
Babym,2025-04-25 10:54:29,00:05:05,,A Lagos Love Story,,Apple iPhone XR,00:46:59,Not latest view,NG (Nigeria)
Babym,2025-04-25 09:38:30,00:18:04,,A Lagos Love Story,,Apple iPhone XR,00:41:54,Not latest view,NG (Nigeria)
Babym,2025-04-24 20:41:03,00:04:56,,A Lagos Love Story,,Apple iPhone XR,00:23:50,Not latest view,NG (Nigeria)
Babym,2025-04-24 19:30:02,00:17:15,,A Lagos Love Story,,Apple iPhone XR,00:18:53,Not latest view,NG (Nigeria)
Babym,2025-04-23 19:46:17,00:00:49,,A Lagos Love Story,,Apple iPhone XR,00:01:38,Not latest view,NG (Nigeria)
Babym,2025-04-23 14:22:11,00:00:49,,A Lagos Love Story,,Apple iPhone XR,00:00:49,Not latest view,NG (Nigeria)
Babym,2025-04-21 17:27:45,00:12:34,,13 Going on 30,,Apple iPhone XR,01:33:14,01:33:14,NG (Nigeria)
Babym,2025-04-21 07:48:08,00:02:19,,13 Going on 30,,Apple iPhone XR,01:20:40,Not latest view,NG (Nigeria)
Babym,2025-04-19 20:04:46,00:05:27,,13 Going on 30,,Apple iPhone XR,01:18:21,Not latest view,NG (Nigeria)
Babym,2025-04-19 19:31:16,00:02:57,,13 Going on 30,,Apple iPhone XR,01:12:54,Not latest view,NG (Nigeria)
Babym,2025-04-17 21:18:39,01:09:57,,13 Going on 30,,Apple iPhone XR,01:09:57,Not latest view,NG (Nigeria)
Babym,2025-04-17 10:36:05,00:00:26,,Look Both Ways,,Apple iPhone XR,00:00:26,00:00:26,NG (Nigeria)
Babym,2025-04-17 10:35:57,00:00:06,Autoplayed: user action: None; ,Inciting Incident Clip: Look Both Ways,HOOK,Apple iPhone XR,00:00:06,00:00:06,NG (Nigeria)
Babym,2025-04-12 08:26:50,00:00:58,,Kinda Pregnant,,Apple iPhone XR,00:09:28,00:09:28,NG (Nigeria)
Babym,2025-04-11 13:55:26,00:02:17,,Kinda Pregnant,,Apple iPhone XR,00:08:30,Not latest view,NG (Nigeria)
Babym,2025-04-11 08:04:07,00:03:06,,Kinda Pregnant,,Apple iPhone XR,00:06:12,Not latest view,NG (Nigeria)
Babym,2025-04-10 17:49:31,00:02:18,,Kinda Pregnant,,Apple iPhone XR,00:03:05,Not latest view,NG (Nigeria)
Babym,2025-04-10 11:48:03,00:00:47,,Kinda Pregnant,,Apple iPhone XR,00:00:47,Not latest view,NG (Nigeria)
Babym,2025-04-09 17:03:37,00:00:08,,Kinda Pregnant,,Apple iPhone XR,00:00:09,Not latest view,NG (Nigeria)
Babym,2025-04-09 17:03:23,00:00:11,Autoplayed: user action: None; ,Trailer: Kinda Pregnant,TRAILER,Apple iPhone XR,00:00:11,00:00:11,NG (Nigeria)
Babym,2025-04-09 16:57:28,00:00:19,,"Love, Sex and 30 Candles",,Apple iPhone XR,00:00:19,00:00:19,NG (Nigeria)
Babym,2025-04-09 16:57:22,00:00:04,Autoplayed: user action: None; ,"Villain / Antagonist Clip: Love, Sex and 30 Candles",HOOK,Apple iPhone XR,00:00:04,00:00:04,NG (Nigeria)
Babym,2025-04-09 16:55:46,00:00:29,Autoplayed: user action: None; ,Baby Farm: Season 1_hook_02_16x9,HOOK,Apple iPhone XR,00:00:29,00:00:29,NG (Nigeria)
Babym,2025-04-09 16:43:13,00:04:00,,Last Year Single: Season 1: Episode 1,,Apple iPhone XR,00:09:25,00:09:25,NG (Nigeria)
Babym,2025-04-09 14:26:33,00:00:46,,Last Year Single: Season 1: Episode 1,,Apple iPhone XR,00:05:25,Not latest view,NG (Nigeria)
Babym,2025-04-09 08:26:16,00:04:39,,Last Year Single: Season 1: Episode 1,,Apple iPhone XR,00:04:39,Not latest view,NG (Nigeria)
Babym,2025-04-09 08:25:15,00:00:38,,Ada Omo Daddy,,Apple iPhone XR,00:00:38,00:00:38,NG (Nigeria)
Babym,2025-04-07 23:15:20,00:54:28,,Disaster Holiday,,Apple iPhone XR,01:28:17,01:28:17,NG (Nigeria)
Babym,2025-04-07 22:10:21,00:17:10,,Disaster Holiday,,Apple iPhone XR,00:33:49,Not latest view,NG (Nigeria)
Babym,2025-04-07 09:43:20,00:02:40,,Disaster Holiday,,Apple iPhone XR,00:16:38,Not latest view,NG (Nigeria)
Babym,2025-04-06 22:47:26,00:13:57,,Disaster Holiday,,Apple iPhone XR,00:13:57,Not latest view,NG (Nigeria)
Babym,2025-04-06 17:24:20,00:00:04,,Disaster Holiday,,Apple iPhone XR,00:00:04,Not latest view,NG (Nigeria)
Babym,2025-04-06 13:05:48,00:00:21,Autoplayed: user action: None; ,Clip 6: Disaster Holiday,HOOK,Apple iPhone XR,00:00:21,00:00:21,NG (Nigeria)
Babym,2025-04-06 12:55:26,00:00:16,Autoplayed: user action: None; ,Clip 6: Disaster Holiday,HOOK,Apple iPhone XR,00:00:16,Not latest view,NG (Nigeria)
Dozie,2025-05-12 11:42:49,00:28:13,,The Good Doctor: Season 1: Heartfelt (Episode 15),,DefaultWidevineAndroidPhone,00:42:42,00:42:42,NG (Nigeria)
Dozie,2025-05-12 11:31:34,00:11:14,,The Good Doctor: Season 1: She (Episode 14),,DefaultWidevineAndroidPhone,00:42:26,00:42:26,NG (Nigeria)
Dozie,2025-05-11 21:42:47,00:19:54,,The Residence: Season 1: The Fall of the House of Usher (Episode 1),,DefaultWidevineAndroidPhone,00:29:49,00:29:49,NG (Nigeria)
Dozie,2025-05-11 21:42:14,00:00:17,Autoplayed: user action: None; ,Season 1 Teaser: The Residence,TEASER_TRAILER,DefaultWidevineAndroidPhone,00:00:16,00:00:16,NG (Nigeria)
Dozie,2025-05-11 21:36:37,00:05:26,,Vehicle 19,,DefaultWidevineAndroidPhone,01:20:15,01:20:15,NG (Nigeria)
Dozie,2025-05-11 21:16:39,00:10:35,,Vehicle 19,,DefaultWidevineAndroidPhone,01:07:27,Not latest view,NG (Nigeria)
Dozie,2025-05-11 20:44:00,00:09:40,,Vehicle 19,,DefaultWidevineAndroidPhone,00:52:31,Not latest view,NG (Nigeria)
Dozie,2025-05-11 20:41:26,00:02:07,,"House, M.D.: Season 1: Pilot (Episode 1)",,DefaultWidevineAndroidPhone,00:15:43,00:15:43,NG (Nigeria)
Dozie,2025-05-11 20:40:51,00:00:22,Autoplayed: user action: None; ,"House, M.D.: Season 1_hook_primary_16x9_backfill",HOOK,DefaultWidevineAndroidPhone,00:00:22,00:00:22,NG (Nigeria)
Dozie,2025-05-11 20:28:59,00:08:36,,"House, M.D.: Season 1: Pilot (Episode 1)",,DefaultWidevineAndroidPhone,00:12:37,Not latest view,NG (Nigeria)
Dozie,2025-05-11 08:16:27,00:25:24,,Vehicle 19,,DefaultWidevineAndroidPhone,00:38:22,Not latest view,NG (Nigeria)
Dozie,2025-05-11 08:16:13,00:00:10,Autoplayed: user action: None; ,Vehicle 19_hook_01_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:10,00:00:10,NG (Nigeria)
Dozie,2025-05-11 08:09:58,00:00:06,Autoplayed: user action: None; ,Vehicle 19_hook_01_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:06,Not latest view,NG (Nigeria)
Dozie,2025-05-11 08:09:24,00:00:09,Autoplayed: user action: None; ,The Sentinel_hook_01_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:05,00:00:05,NG (Nigeria)
Dozie,2025-05-11 08:08:37,00:00:04,Autoplayed: user action: None; ,Blue Story_hook_02_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:03,00:00:03,NG (Nigeria)
Dozie,2025-05-10 21:30:29,00:00:31,Autoplayed: user action: None; ,Season 1 Teaser : Unseen,TEASER_TRAILER,DefaultWidevineAndroidPhone,00:00:25,00:00:25,NG (Nigeria)
Dozie,2025-05-10 21:30:02,00:00:17,Autoplayed: user action: None; ,Season 2 Trailer: The Diplomat,TRAILER,DefaultWidevineAndroidPhone,00:00:15,00:00:15,NG (Nigeria)
Dozie,2025-05-10 20:58:05,00:30:53,,Designated Survivor: Season 3: #truthorconsequences (Episode 10),,DefaultWidevineAndroidPhone,00:53:01,00:53:01,NG (Nigeria)
Dozie,2025-05-10 20:56:45,00:01:15,,Designated Survivor: Season 3: #undecided (Episode 9),,DefaultWidevineAndroidPhone,00:45:54,00:45:54,NG (Nigeria)
Dozie,2025-05-10 20:23:06,00:24:32,,Designated Survivor: Season 3: #undecided (Episode 9),,DefaultWidevineAndroidPhone,00:44:08,Not latest view,NG (Nigeria)
Dozie,2025-05-10 20:19:35,00:03:28,,Designated Survivor: Season 3: #scaredsh*tless (Episode 8),,DefaultWidevineAndroidPhone,00:48:34,00:48:34,NG (Nigeria)
Dozie,2025-05-10 20:19:26,00:00:06,,Designated Survivor: Season 3: #identity/crisis (Episode 7),,DefaultWidevineAndroidPhone,00:48:48,00:48:48,NG (Nigeria)
Dozie,2025-05-10 19:50:16,00:25:58,,Designated Survivor: Season 3: #scaredsh*tless (Episode 8),,DefaultWidevineAndroidPhone,00:42:48,Not latest view,NG (Nigeria)
Dozie,2025-05-10 19:19:22,00:29:44,,Designated Survivor: Season 3: #identity/crisis (Episode 7),,DefaultWidevineAndroidPhone,00:50:46,Not latest view,NG (Nigeria)
Dozie,2025-05-10 18:49:47,00:29:20,,Designated Survivor: Season 3: #whocares (Episode 6),,DefaultWidevineAndroidPhone,00:46:25,00:46:25,NG (Nigeria)
Dozie,2025-05-10 18:22:30,00:27:07,,Designated Survivor: Season 3: #nothingpersonal (Episode 5),,DefaultWidevineAndroidPhone,00:42:30,00:42:30,NG (Nigeria)
Dozie,2025-05-10 17:57:45,00:24:25,,Designated Survivor: Season 3: #makehistory (Episode 4),,DefaultWidevineAndroidPhone,00:49:19,00:49:19,NG (Nigeria)
Dozie,2025-05-10 17:04:05,00:07:39,,Designated Survivor: Season 3: #makehistory (Episode 4),,DefaultWidevineAndroidPhone,00:11:46,Not latest view,NG (Nigeria)
Dozie,2025-05-10 16:50:38,00:11:03,,Designated Survivor: Season 3: #privacyplease (Episode 3),,DefaultWidevineAndroidPhone,00:16:43,00:16:43,NG (Nigeria)
Dozie,2025-05-10 16:18:37,00:29:06,,Designated Survivor: Season 3: #slipperyslope (Episode 2),,DefaultWidevineAndroidPhone,00:47:38,00:47:38,NG (Nigeria)
Dozie,2025-05-10 15:00:14,00:02:42,,Designated Survivor: Season 3: #slipperyslope (Episode 2),,DefaultWidevineAndroidPhone,00:04:13,Not latest view,NG (Nigeria)
Dozie,2025-05-10 14:27:07,00:32:30,,Designated Survivor: Season 3: #thesystemisbroken (Episode 1),,DefaultWidevineAndroidPhone,00:48:55,00:48:55,NG (Nigeria)
Dozie,2025-05-10 13:59:58,00:27:07,,Designated Survivor: Season 2: Run (Episode 22),,DefaultWidevineAndroidPhone,00:41:49,00:41:49,NG (Nigeria)
Dozie,2025-05-10 13:34:35,00:23:56,,Designated Survivor: Season 2: Target (Episode 21),,DefaultWidevineAndroidPhone,00:42:09,00:42:09,NG (Nigeria)
Dozie,2025-05-10 13:07:04,00:27:29,,Designated Survivor: Season 2: Bad Reception (Episode 20),,DefaultWidevineAndroidPhone,00:42:11,00:42:11,NG (Nigeria)
Dozie,2025-05-10 12:39:20,00:27:42,,Designated Survivor: Season 2: Capacity (Episode 19),,DefaultWidevineAndroidPhone,00:42:35,00:42:35,NG (Nigeria)
Dozie,2025-05-10 12:13:20,00:25:57,,Designated Survivor: Season 2: Kirkman Agonistes (Episode 18),,DefaultWidevineAndroidPhone,00:40:44,00:40:44,NG (Nigeria)
Dozie,2025-05-10 11:47:40,00:25:37,,Designated Survivor: Season 2: Overkill (Episode 17),,DefaultWidevineAndroidPhone,00:39:40,00:39:40,NG (Nigeria)
Dozie,2025-05-10 11:20:35,00:27:04,,Designated Survivor: Season 2: Fallout (Episode 16),,DefaultWidevineAndroidPhone,00:41:30,00:41:30,NG (Nigeria)
Dozie,2025-05-10 11:00:46,00:19:47,,Designated Survivor: Season 2: Summit (Episode 15),,DefaultWidevineAndroidPhone,00:41:01,00:41:01,NG (Nigeria)
Dozie,2025-05-10 10:01:07,00:07:46,,Designated Survivor: Season 2: Summit (Episode 15),,DefaultWidevineAndroidPhone,00:12:17,Not latest view,NG (Nigeria)
Dozie,2025-05-10 09:35:15,00:25:40,,Designated Survivor: Season 2: In the Dark (Episode 14),,DefaultWidevineAndroidPhone,00:41:31,00:41:31,NG (Nigeria)
Dozie,2025-05-10 08:14:25,00:01:52,Autoplayed: user action: None; ,Designated Survivor: Season 2: In the Dark (Episode 14),,DefaultWidevineAndroidPhone,00:03:32,Not latest view,NG (Nigeria)
Dozie,2025-05-10 08:05:02,00:09:22,,Designated Survivor: Season 2: Original Sin (Episode 13),,DefaultWidevineAndroidPhone,00:41:23,00:41:23,NG (Nigeria)
Dozie,2025-05-10 07:29:05,00:17:30,,Designated Survivor: Season 2: Original Sin (Episode 13),,DefaultWidevineAndroidPhone,00:27:25,Not latest view,NG (Nigeria)
Dozie,2025-05-10 07:18:39,00:10:24,,Designated Survivor: Season 2: The Final Frontier (Episode 12),,DefaultWidevineAndroidPhone,00:42:33,00:42:33,NG (Nigeria)
Dozie,2025-05-09 20:54:26,00:17:24,,Designated Survivor: Season 2: The Final Frontier (Episode 12),,DefaultWidevineAndroidPhone,00:26:58,Not latest view,NG (Nigeria)
Dozie,2025-05-09 20:26:26,00:24:52,,Designated Survivor: Season 2: Grief (Episode 11),,DefaultWidevineAndroidPhone,00:42:36,00:42:36,NG (Nigeria)
Dozie,2025-05-09 20:20:50,00:05:35,,Designated Survivor: Season 2: Line of Fire (Episode 10),,DefaultWidevineAndroidPhone,00:42:12,00:42:12,NG (Nigeria)
Dozie,2025-05-09 18:39:15,00:06:14,,Designated Survivor: Season 2: Line of Fire (Episode 10),,DefaultWidevineAndroidPhone,00:33:54,Not latest view,NG (Nigeria)
Dozie,2025-05-09 18:08:49,00:15:56,,Designated Survivor: Season 2: Line of Fire (Episode 10),,DefaultWidevineAndroidPhone,00:24:42,Not latest view,NG (Nigeria)
Dozie,2025-05-09 18:08:42,00:00:04,,Designated Survivor: Season 2: Three Letter Day (Episode 9),,DefaultWidevineAndroidPhone,00:18:22,00:18:22,NG (Nigeria)
Dozie,2025-05-09 16:45:15,00:11:34,,Designated Survivor: Season 2: Three Letter Day (Episode 9),,DefaultWidevineAndroidPhone,00:18:21,Not latest view,NG (Nigeria)
Dozie,2025-05-09 16:16:20,00:27:32,,Designated Survivor: Season 2: Home (Episode 8),,DefaultWidevineAndroidPhone,00:42:15,00:42:15,NG (Nigeria)
Dozie,2025-05-09 15:49:26,00:26:07,,Designated Survivor: Season 2: Family Ties (Episode 7),,DefaultWidevineAndroidPhone,00:41:10,00:41:10,NG (Nigeria)
Dozie,2025-05-09 15:33:36,00:13:25,,The Big Bang Theory: Season 1: The Luminous Fish Effect (Episode 4),,DefaultWidevineAndroidPhone,00:20:17,00:20:17,NG (Nigeria)
Dozie,2025-05-09 15:07:48,00:00:10,Autoplayed: user action: None; ,The Big Bang Theory: Season 1: The Luminous Fish Effect (Episode 4),,DefaultWidevineAndroidPhone,00:00:15,Not latest view,NG (Nigeria)
Dozie,2025-05-09 14:51:23,00:14:15,,The Big Bang Theory: Season 1: The Fuzzy Boots Corollary (Episode 3),,DefaultWidevineAndroidPhone,00:21:36,00:21:36,NG (Nigeria)
Dozie,2025-05-09 14:20:08,00:13:46,,The Big Bang Theory: Season 1: The Big Bran Hypothesis (Episode 2),,DefaultWidevineAndroidPhone,00:20:38,00:20:38,NG (Nigeria)
Dozie,2025-05-09 14:09:45,00:10:22,,The Big Bang Theory: Season 1: Pilot (Episode 1),,DefaultWidevineAndroidPhone,00:22:28,00:22:28,NG (Nigeria)
Dozie,2025-05-09 12:59:39,00:05:02,,The Big Bang Theory: Season 1: Pilot (Episode 1),,DefaultWidevineAndroidPhone,00:07:38,Not latest view,NG (Nigeria)
Dozie,2025-05-09 11:20:59,00:01:19,,Designated Survivor: Season 2: Family Ties (Episode 7),,DefaultWidevineAndroidPhone,00:02:42,Not latest view,NG (Nigeria)
Dozie,2025-05-09 10:45:49,00:27:43,,Designated Survivor: Season 2: Two Ships (Episode 6),,DefaultWidevineAndroidPhone,00:42:32,00:42:32,NG (Nigeria)
Dozie,2025-05-09 10:18:01,00:27:26,,Designated Survivor: Season 2: Suckers (Episode 5),,DefaultWidevineAndroidPhone,00:41:44,00:41:44,NG (Nigeria)
Dozie,2025-05-09 09:51:01,00:26:06,,Designated Survivor: Season 2: Equilibrium (Episode 4),,DefaultWidevineAndroidPhone,00:40:11,00:40:11,NG (Nigeria)
Dozie,2025-05-09 07:06:18,00:18:42,,The Union,,DefaultWidevineAndroidPhone,01:47:55,01:47:55,NG (Nigeria)
Dozie,2025-05-09 06:05:30,00:06:59,,The Union,,DefaultWidevineAndroidPhone,01:12:48,Not latest view,NG (Nigeria)
Dozie,2025-05-08 20:24:44,00:25:37,,The Union,,DefaultWidevineAndroidPhone,01:02:20,Not latest view,NG (Nigeria)
Dozie,2025-05-08 20:24:15,00:00:06,Autoplayed: user action: None; ,Inside Man 2_hook_03_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:06,00:00:06,NG (Nigeria)
Dozie,2025-05-08 17:10:07,00:00:02,,Young Sheldon: Season 7: Memoir (Episode 14),,DefaultWidevineAndroidPhone,00:21:09,00:21:09,NG (Nigeria)
Dozie,2025-05-08 17:09:48,00:00:13,,Young Sheldon: Season 7: Memoir (Episode 14),,DefaultWidevineAndroidPhone,00:21:11,Not latest view,NG (Nigeria)
Dozie,2025-05-08 17:09:36,00:00:05,,Young Sheldon: Season 7: Funeral (Episode 13),,DefaultWidevineAndroidPhone,00:19:52,00:19:52,NG (Nigeria)
Dozie,2025-05-08 16:56:23,00:13:00,,Young Sheldon: Season 7: Memoir (Episode 14),,DefaultWidevineAndroidPhone,00:20:49,Not latest view,NG (Nigeria)
Dozie,2025-05-08 16:42:39,00:13:42,,Young Sheldon: Season 7: Funeral (Episode 13),,DefaultWidevineAndroidPhone,00:20:49,Not latest view,NG (Nigeria)
Dozie,2025-05-08 16:29:33,00:12:59,,Young Sheldon: Season 7: A New Home and a Traditional Texas Torture (Episode 12),,DefaultWidevineAndroidPhone,00:19:19,00:19:19,NG (Nigeria)
Dozie,2025-05-08 16:19:16,00:09:07,,Young Sheldon: Season 7: A Little Snip and Teaching Old Dogs (Episode 11),,DefaultWidevineAndroidPhone,00:18:14,00:18:14,NG (Nigeria)
Dozie,2025-05-08 16:01:08,00:03:25,,Young Sheldon: Season 7: A Little Snip and Teaching Old Dogs (Episode 11),,DefaultWidevineAndroidPhone,00:05:39,Not latest view,NG (Nigeria)
Dozie,2025-05-08 15:47:51,00:13:15,,Young Sheldon: Season 7: Community Service and the Key to a Happy Marriage (Episode 10),,DefaultWidevineAndroidPhone,00:20:32,00:20:32,NG (Nigeria)
Dozie,2025-05-08 15:47:49,00:13:15,,Young Sheldon: Season 7: Community Service and the Key to a Happy Marriage (Episode 10),,DefaultWidevineAndroidPhone,00:20:32,Not latest view,NG (Nigeria)
Dozie,2025-05-08 15:42:49,00:04:48,,Young Sheldon: Season 7: A Fancy Article and a Scholarship for a Baby (Episode 9),,DefaultWidevineAndroidPhone,00:19:26,00:19:26,NG (Nigeria)
Dozie,2025-05-08 15:23:53,00:08:35,,Young Sheldon: Season 7: A Fancy Article and a Scholarship for a Baby (Episode 9),,DefaultWidevineAndroidPhone,00:13:02,Not latest view,NG (Nigeria)
Dozie,2025-05-08 15:23:49,00:00:02,,Young Sheldon: Season 7: An Ankle Monitor and a Big Plastic Crap House (Episode 8),,DefaultWidevineAndroidPhone,00:00:01,00:00:01,NG (Nigeria)
Dozie,2025-05-08 15:23:36,00:00:11,,Young Sheldon: Season 7: A Proper Wedding and Skeletons in the Closet (Episode 7),,DefaultWidevineAndroidPhone,00:02:04,00:02:04,NG (Nigeria)
Dozie,2025-05-08 14:43:46,00:05:38,,Young Sheldon: Season 7: An Ankle Monitor and a Big Plastic Crap House (Episode 8),,DefaultWidevineAndroidPhone,00:09:10,Not latest view,NG (Nigeria)
Dozie,2025-05-08 14:25:25,00:11:35,,Young Sheldon: Season 7: A Proper Wedding and Skeletons in the Closet (Episode 7),,DefaultWidevineAndroidPhone,00:19:49,Not latest view,NG (Nigeria)
Dozie,2025-05-08 12:17:58,00:00:59,,Young Sheldon: Season 7: A Proper Wedding and Skeletons in the Closet (Episode 7),,DefaultWidevineAndroidPhone,00:01:54,Not latest view,NG (Nigeria)
Dozie,2025-05-08 12:16:25,00:01:26,,"Young Sheldon: Season 7: Baptists, Catholics and an Attempted Drowning (Episode 6)",,DefaultWidevineAndroidPhone,00:15:26,00:15:26,NG (Nigeria)
